FORMULARIO;CODIGO_ACCIDENTE;FECHA;CODIGO_VICTIMA;CODIGO_VEHICULO;TIPO_ACTOR;ESTADO;GENERO;EDAD;GRAVEDAD;CLASE_SINIESTRO;DIRECCION;LONGITUD;LATITUD;CODIGO_LOCALIDAD;TOTAL_HERIDOS;TOTAL_MUERTOS;MOD_VEHICULO;CLASE_VEHICULO;SERVICIO_VEHICULO;CODIGO_CAUSA
A001;10561;4/04/2022;1;2;CONDUCTOR;ILESO;MASCULINO;24;3;1;CL 33  - KR 17   02;-74.073;4.622;13;;;1997;4;2;121
A002;10562;4/04/2022;0;1;CONDUCTOR;ILESO;MASCULINO;54;3;1;CL 33  - KR 17   02;-74.073;4.622;13;;;2021;5;3;121
A003;10563;4/04/2022;2;3;CONDUCTOR;ILESO;MASCULINO;51;2;1;CL 6  - KR 29   02;-74.097;4.606;14;1;;2020;2;2;121
A004;10564;4/04/2022;2;3;CONDUCTOR;ILESO;MASCULINO;51;2;1;CL 6  - KR 29   02;-74.097;4.606;14;1;;2020;2;2;506
A005;10565;4/04/2022;1;2;CONDUCTOR;ILESO;MASCULINO;47;2;1;CL 6  - KR 29   02;-74.097;4.606;14;1;;2015;2;2;121
A006;10566;4/04/2022;1;2;CONDUCTOR;ILESO;MASCULINO;47;2;1;CL 6  - KR 29   02;-74.097;4.606;14;1;;2015;2;2;506
A007;10567;4/04/2022;0;1;CONDUCTOR;ILESO;MASCULINO;49;2;1;CL 6  - KR 29   02;-74.097;4.606;14;1;;2013;2;2;121
A008;10568;4/04/2022;3;1;PASAJERO;HERIDO;MASCULINO;21;2;1;CL 6  - KR 29   02;-74.097;4.606;14;1;;2013;2;2;121
A009;10569;4/04/2022;0;1;CONDUCTOR;ILESO;MASCULINO;49;2;1;CL 6  - KR 29   02;-74.097;4.606;14;1;;2013;2;2;506
A010;10570;4/04/2022;3;1;PASAJERO;HERIDO;MASCULINO;21;2;1;CL 6  - KR 29   02;-74.097;4.606;14;1;;2013;2;2;506
A011;10571;2/04/2022;1;2;CONDUCTOR;ILESO;MASCULINO;36;3;1;KR 7  - CL 97   02;-74.04;4.678;2;;;2014;2;2;103
A012;10572;2/04/2022;1;2;CONDUCTOR;ILESO;MASCULINO;36;3;1;KR 7  - CL 97   02;-74.04;4.678;2;;;2014;2;2;157
A013;10573;2/04/2022;0;1;CONDUCTOR;ILESO;MASCULINO;39;3;1;KR 7  - CL 97   02;-74.04;4.678;2;;;2021;1;3;103
A014;10574;2/04/2022;0;1;CONDUCTOR;ILESO;MASCULINO;39;3;1;KR 7  - CL 97   02;-74.04;4.678;2;;;2021;1;3;157
A015;10575;4/04/2022;1;2;MOTOCICLISTA;HERIDO;FEMENINO;22;2;1;KR 111 C  - CL 68 B  02;-74.131;4.706;10;1;;2019;10;3;112
